[17-04-2019 08:30:56] - SN:ZABRBA1916005KG;ZABRBA1916005KH, MODELO:TG1692BR-SMT
[17-04-2019 08:31:37] - SN:ZABRBA1916005KJ;ZABRBA1916005KK, MODELO:TG1692BR-SMT
[17-04-2019 08:37:13] - SN:ZABRBA1916005KL;ZABRBA1916005KM, MODELO:TG1692BR-SMT
[17-04-2019 08:39:11] - SN:ZABRBA1916005KN;ZABRBA1916005KP, MODELO:TG1692BR-SMT
[17-04-2019 08:50:26] - SN:ZABRBA1916005KQ;ZABRBA1916005KR, MODELO:TG1692BR-SMT
[17-04-2019 09:00:07] - SN:ZABRBA1916005KS;ZABRBA1916005KT, MODELO:TG1692BR-SMT
[17-04-2019 09:00:32] - SN:ZABRBA1916005KU;ZABRBA1916005KV, MODELO:TG1692BR-SMT
[17-04-2019 09:00:48] - SN:ZABRBA1916005KW;ZABRBA1916005KX, MODELO:TG1692BR-SMT
[17-04-2019 09:02:20] - SN:ZABRBA1916005KY;ZABRBA1916005KZ, MODELO:TG1692BR-SMT
[17-04-2019 09:03:39] - SN:ZABRBA1916005L0;ZABRBA1916005L1, MODELO:TG1692BR-SMT
[17-04-2019 09:04:07] - SN:ZABRBA1916005L2;ZABRBA1916005L3, MODELO:TG1692BR-SMT
[17-04-2019 09:06:55] - SN:ZABRBA1916005L4;ZABRBA1916005L5, MODELO:TG1692BR-SMT
[17-04-2019 09:09:07] - SN:ZABRBA1916005L6;ZABRBA1916005L7, MODELO:TG1692BR-SMT
[17-04-2019 09:10:48] - SN:ZABRBA1916005L8;ZABRBA1916005L9, MODELO:TG1692BR-SMT
[17-04-2019 09:12:29] - SN:ZABRBA1916005LA;ZABRBA1916005LB, MODELO:TG1692BR-SMT
[17-04-2019 09:20:05] - SN:ZABRBA1916005LC;ZABRBA1916005LD, MODELO:TG1692BR-SMT
[17-04-2019 09:39:46] - SN:ZABRBA1916005LE;ZABRBA1916005LF, MODELO:TG1692BR-SMT
[17-04-2019 09:41:30] - SN:ZABRBA1916005LG;ZABRBA1916005LH, MODELO:TG1692BR-SMT
[17-04-2019 09:42:00] - SN:ZABRBA1916005LJ;ZABRBA1916005LK, MODELO:TG1692BR-SMT
[17-04-2019 10:53:04] - SN:ZABRBA1916005LL;ZABRBA1916005LM, MODELO:TG1692BR-SMT
[17-04-2019 11:04:15] - SN:ZABRBA1916005LN;ZABRBA1916005LP, MODELO:TG1692BR-SMT
[17-04-2019 11:04:40] - SN:ZABRBA1916005LQ;ZABRBA1916005LR, MODELO:TG1692BR-SMT
[17-04-2019 11:05:18] - SN:ZABRBA1916005LS;ZABRBA1916005LT, MODELO:TG1692BR-SMT
[17-04-2019 11:13:53] - SN:ZABRBA1916005LU;ZABRBA1916005LV, MODELO:TG1692BR-SMT
[17-04-2019 11:15:27] - SN:ZABRBA1916005LW;ZABRBA1916005LX, MODELO:TG1692BR-SMT
[17-04-2019 13:04:52] - SN:ZABRBA1916005LY;ZABRBA1916005LZ, MODELO:TG1692BR-SMT
[17-04-2019 13:06:10] - SN:ZABRBA1916005M0;ZABRBA1916005M1, MODELO:TG1692BR-SMT
[17-04-2019 13:07:15] - SN:ZABRBA1916005M2;ZABRBA1916005M3, MODELO:TG1692BR-SMT
[17-04-2019 13:08:05] - SN:ZABRBA1916005M4;ZABRBA1916005M5, MODELO:TG1692BR-SMT
[17-04-2019 13:09:26] - SN:ZABRBA1916005M6;ZABRBA1916005M7, MODELO:TG1692BR-SMT
[18-04-2019 06:47:50] - SN:ZABRBA1916005M8;ZABRBA1916005M9, MODELO:TG1692BR-SMT
[18-04-2019 06:50:20] - SN:ZABRBA1916005MA;ZABRBA1916005MB, MODELO:TG1692BR-SMT
[18-04-2019 06:50:46] - SN:ZABRBA1916005MC;ZABRBA1916005MD, MODELO:TG1692BR-SMT
[18-04-2019 06:51:33] - SN:ZABRBA1916005ME;ZABRBA1916005MF, MODELO:TG1692BR-SMT
[18-04-2019 11:30:42] - SN:ZABRBA1916005MJ, MODELO:TG1692BR-SMT
[18-04-2019 11:31:26] - SN:ZABRBA1916005MK, MODELO:TG1692BR-SMT
[18-04-2019 11:33:12] - SN:ZABRBA1916005ML;ZABRBA1916005MM, MODELO:TG1692BR-SMT
[22-04-2019 13:18:07] - SN:ZABRBA1917005MN, MODELO:TG1692BR-SMT
[22-04-2019 13:18:11] - SN:ZABRBA1917005MP, MODELO:TG1692BR-SMT
[22-04-2019 13:18:16] - SN:ZABRBA1917005MQ, MODELO:TG1692BR-SMT
[22-04-2019 13:30:13] - SN:ZABRBA1917005MR, MODELO:TG1692BR-SMT
[22-04-2019 13:30:51] - SN:ZABRBA1917005MS, MODELO:TG1692BR-SMT
[22-04-2019 13:35:28] - SN:ZABRBA1917005MT, MODELO:TG1692BR-SMT
[22-04-2019 13:36:31] - SN:ZABRBA1917005MU, MODELO:TG1692BR-SMT
[22-04-2019 13:39:07] - SN:ZABRBA1917005MV, MODELO:TG1692BR-SMT
[22-04-2019 13:39:48] - SN:ZABRBA1917005MW, MODELO:TG1692BR-SMT
[22-04-2019 13:44:38] - SN:ZABRBA1917005MX, MODELO:TG1692BR-SMT
[22-04-2019 13:46:09] - SN:ZABRBA1917005MY, MODELO:TG1692BR-SMT
[22-04-2019 13:48:57] - SN:ZABRBA1917005MZ, MODELO:TG1692BR-SMT
[22-04-2019 13:50:00] - SN:ZABRBA1917005N0, MODELO:TG1692BR-SMT
[22-04-2019 13:51:19] - SN:ZABRBA1917005N1, MODELO:TG1692BR-SMT
[22-04-2019 13:51:40] - SN:ZABRBA1917005N2, MODELO:TG1692BR-SMT
[22-04-2019 13:52:15] - SN:ZABRBA1917005N3, MODELO:TG1692BR-SMT
[22-04-2019 13:54:58] - SN:ZABRBA1917005N4, MODELO:TG1692BR-SMT
[22-04-2019 13:55:24] - SN:ZABRBA1917005N5, MODELO:TG1692BR-SMT
[22-04-2019 13:56:39] - SN:ZABRBA1917005N6, MODELO:TG1692BR-SMT
[22-04-2019 13:56:53] - SN:ZABRBA1917005N7, MODELO:TG1692BR-SMT
[22-04-2019 13:57:32] - SN:ZABRBA1917005N8, MODELO:TG1692BR-SMT
[22-04-2019 13:57:44] - SN:ZABRBA1917005N9, MODELO:TG1692BR-SMT
[22-04-2019 13:58:23] - SN:ZABRBA1917005NA, MODELO:TG1692BR-SMT
[22-04-2019 13:58:32] - SN:ZABRBA1917005NB, MODELO:TG1692BR-SMT
